Rank,Name,Elevation,Prominence,Latitude,Longitude,State
87,CAMELS HUMP,4090,2140,44.31944444,-72.88666667,VT
88,BIGELOW MTN (AVERY PK),4090,277,45.14666667,-70.27583333,ME
89,PORTER MTN,4085,328,44.21222222,-73.85416667,NY
90,SOUTH DIX,4084,197,44.06,-73.77472222,NY
91,MT COLVIN,4084,754,44.09388889,-73.83472222,NY
92,MT ELLEN,4083,1873,44.15972222,-72.92916667,VT
93,WILDCAT RIDGE (D PK),4070,300,44.24916667,-71.22416667,NH
94,MT MANSFIELD (THE NOSE),4062,212,44.5265,-72.8151,VT
95,MT HALE,4054,634,44.22166667,-71.5125,NH
96,MT JACKSON,4052,352,44.20305556,-71.37583333,NH
97,MT TOM,4051,351,44.21027778,-71.44666667,NH
98,SOUTH CROCKER MTN,4050,360,45.03611111,-70.37638889,ME
99,MT ABRAHAM,4050,900,44.97277778,-70.32694444,ME
100,HUNTER MTN,4050,2160,42.1775,-74.23083333,NY
101,MT MORIAH,4049,922,44.34027778,-71.13222222,NH
102,MT PASSACONAWAY,4043,783,43.95472222,-71.38111111,NH
103,SADDLEBACK MTN (THE HORN),4041,471,44.95111111,-70.4875,ME
104,OWLS HEAD,4025,845,44.14416667,-71.60555556,NH
105,GALEHEAD,4024,284,44.185,-71.57388889,NH
106,MT WHITEFACE,4020,600,43.93666667,-71.40805556,NH
107,DIAL MTN,4019,197,44.10583333,-73.79666667,NY
108,SPAULDING MTN,4010,595,45.00277778,-70.33388889,ME
109,MT REDINGTON,4010,460,45.025,-70.38916667,ME
110,YARD MTN,4009,220,44.17444444,-73.88527778,NY
111,MT ABRAHAM,4006,296,44.12027778,-72.93666667,VT
112,GRACE PK (EAST DIX),4006,315,44.06527778,-73.75777778,NY
113,MT WAUMBEK,4005,1299,44.4325,-71.41777778,NH
114,MT ISOLATION,4004,224,44.21472222,-71.31,NH
115,MT TECUMSEH,4003,1743,43.96638889,-71.55694444,NH
